group_name;external_id;discipline;term;pair_kind;hours;department_name;education_form;faculty;direction;course;specialization;kind_of_sport
МП-19-24;000011840;Спортивно-оздоровительный туризм как социальное явление;Четвертый семестр;Лекции;16;Кафедра рекреации и спортивно-оздоровительного туризма;Очная;Факультет магистерской подготовки;Социология;2;Социология физической культуры, спорта и туризма;
МП-19-24;000011840;Спортивно-оздоровительный туризм как социальное явление;Четвертый семестр;Практические занятия;20;Кафедра рекреации и спортивно-оздоровительного туризма;Очная;Факультет магистерской подготовки;Социология;2;Социология физической культуры, спорта и туризма;
МП-19-24;000011840;Технология и методика эмпирического исследования в социологии;Четвертый семестр;Лекции;16;Кафедра истории цивилизации, физической культуры, спорта и олимпийского образования;Очная;Факультет магистерской подготовки;Социология;2;Социология физической культуры, спорта и туризма;
МП-19-24;000011840;Технология и методика эмпирического исследования в социологии;Четвертый семестр;Практические занятия;20;Кафедра истории цивилизации, физической культуры, спорта и олимпийского образования;Очная;Факультет магистерской подготовки;Социология;2;Социология физической культуры, спорта и туризма;
НОасп-06-24;000011999;Актуальные проблемы медико-биологических исследований в спорте;Четвертый семестр;Лекции;6;Кафедра физиологии;Очная;Отдел аспирантуры;Биологические науки;2;Физиология человека и животных;
НОасп-06-24;000011999;Актуальные проблемы медико-биологических исследований в спорте;Четвертый семестр;Практические занятия;6;Кафедра физиологии;Очная;Отдел аспирантуры;Биологические науки;2;Физиология человека и животных;
НОасп-06-24;000011999;Научно-исследовательский семинар;Четвертый семестр;Практические занятия;20;Кафедра физиологии;Очная;Отдел аспирантуры;Биологические науки;2;Физиология человека и животных;
НОасп-06-24;000011999;Прикладные аспекты медико-биологических разработок в спорте;Четвертый семестр;Лекции;6;Кафедра физиологии;Очная;Отдел аспирантуры;Биологические науки;2;Физиология человека и животных;
НОасп-06-24;000011999;Прикладные аспекты медико-биологических разработок в спорте;Четвертый семестр;Практические занятия;6;Кафедра физиологии;Очная;Отдел аспирантуры;Биологические науки;2;Физиология человека и животных;
НОасп-06-24;000011999;Специальная дисциплина:Физиология человека и животных;Четвертый семестр;Лекции;12;Кафедра физиологии;Очная;Отдел аспирантуры;Биологические науки;2;Физиология человека и животных;
НОасп-06-24;000011999;Специальная дисциплина:Физиология человека и животных;Четвертый семестр;Практические занятия;10;Кафедра физиологии;Очная;Отдел аспирантуры;Биологические науки;2;Физиология человека и животных;
С1-04А-25;000012303;Анатомия человека;Второй семестр;Лекции;16;Кафедра анатомии и биологической антропологии;Очная;Тренерский факультет (1 отделение);Спорт;1;Спортивная подготовка по виду спорта «футбол». Педагогическая деятельность в области физической культуры и спорта;Футбол
С1-04А-25;000012303;Анатомия человека;Второй семестр;Практические занятия;48;Кафедра анатомии и биологической антропологии;Очная;Тренерский факультет (1 отделение);Спорт;1;Спортивная подготовка по виду спорта «футбол». Педагогическая деятельность в области физической культуры и спорта;Футбол
С1-04А-25;000012303;Баскетбол;Второй семестр;Лекции;2;Кафедра теории и методики баскетбола;Очная;Тренерский факультет (1 отделение);Спорт;1;Спортивная подготовка по виду спорта «футбол». Педагогическая деятельность в области физической культуры и спорта;Футбол
С1-04А-25;000012303;Баскетбол;Второй семестр;Практические занятия;46;Кафедра теории и методики баскетбола;Очная;Тренерский факультет (1 отделение);Спорт;1;Спортивная подготовка по виду спорта «футбол». Педагогическая деятельность в области физической культуры и спорта;Футбол
С1-04А-25;000012303;Безопасность жизнедеятельности;Второй семестр;Лекции;10;Кафедра спортивной медицины;Очная;Тренерский факультет (1 отделение);Спорт;1;Спортивная подготовка по виду спорта «футбол». Педагогическая деятельность в области физической культуры и спорта;Футбол
С1-04А-25;000012303;Безопасность жизнедеятельности;Второй семестр;Практические занятия;22;Кафедра спортивной медицины;Очная;Тренерский факультет (1 отделение);Спорт;1;Спортивная подготовка по виду спорта «футбол». Педагогическая деятельность в области физической культуры и спорта;Футбол
С1-04А-25;000012303;Велосипедный спорт;Второй семестр;Лекции;2;Кафедра теории и методики велосипедного спорта, триатлона и гольфа;Очная;Тренерский факультет (1 отделение);Спорт;1;Спортивная подготовка по виду спорта «футбол». Педагогическая деятельность в области физической культуры и спорта;Футбол
С1-04А-25;000012303;Велосипедный спорт;Второй семестр;Практические занятия;18;Кафедра теории и методики велосипедного спорта, триатлона и гольфа;Очная;Тренерский факультет (1 отделение);Спорт;1;Спортивная подготовка по виду спорта «футбол». Педагогическая деятельность в области физической культуры и спорта;Футбол
С1-04А-25;000012303;Воркаут;Второй семестр;Лекции;2;Кафедра теории и методики гимнастики;Очная;Тренерский факультет (1 отделение);Спорт;1;Спортивная подготовка по виду спорта «футбол». Педагогическая деятельность в области физической культуры и спорта;Футбол
С1-04А-25;000012303;Воркаут;Второй семестр;Практические занятия;18;Кафедра теории и методики гимнастики;Очная;Тренерский факультет (1 отделение);Спорт;1;Спортивная подготовка по виду спорта «футбол». Педагогическая деятельность в области физической культуры и спорта;Футбол
С1-04А-25;000012303;Гимнастика;Второй семестр;Практические занятия;34;Кафедра теории и методики гимнастики;Очная;Тренерский факультет (1 отделение);Спорт;1;Спортивная подготовка по виду спорта «футбол». Педагогическая деятельность в области физической культуры и спорта;Футбол
С1-04А-25;000012303;Иностранный язык;Второй семестр;Практические занятия;32;Кафедра иностранных языков и лингвистики;Очная;Тренерский факультет (1 отделение);Спорт;1;Спортивная подготовка по виду спорта «футбол». Педагогическая деятельность в области физической культуры и спорта;Футбол
С1-04А-25;000012303;История России;Второй семестр;Лекции;22;Кафедра истории цивилизации, физической культуры, спорта и олимпийского образования;Очная;Тренерский факультет (1 отделение);Спорт;1;Спортивная подготовка по виду спорта «футбол». Педагогическая деятельность в области физической культуры и спорта;Футбол
С1-04А-25;000012303;История России;Второй семестр;Практические занятия;22;Кафедра истории цивилизации, физической культуры, спорта и олимпийского образования;Очная;Тренерский факультет (1 отделение);Спорт;1;Спортивная подготовка по виду спорта «футбол». Педагогическая деятельность в области физической культуры и спорта;Футбол
С1-04А-25;000012303;История физической культуры и спорта;Второй семестр;Лекции;6;Кафедра истории цивилизации, физической культуры, спорта и олимпийского образования;Очная;Тренерский факультет (1 отделение);Спорт;1;Спортивная подготовка по виду спорта «футбол». Педагогическая деятельность в области физической культуры и спорта;Футбол
С1-04А-25;000012303;История физической культуры и спорта;Второй семестр;Практические занятия;26;Кафедра истории цивилизации, физической культуры, спорта и олимпийского образования;Очная;Тренерский факультет (1 отделение);Спорт;1;Спортивная подготовка по виду спорта «футбол». Педагогическая деятельность в области физической культуры и спорта;Футбол
С1-04А-25;000012303;Мини-футбол;Второй семестр;Лекции;2;Кафедра теории и методики футбола;Очная;Тренерский факультет (1 отделение);Спорт;1;Спортивная подготовка по виду спорта «футбол». Педагогическая деятельность в области физической культуры и спорта;Футбол
С1-04А-25;000012303;Мини-футбол;Второй семестр;Практические занятия;18;Кафедра теории и методики футбола;Очная;Тренерский факультет (1 отделение);Спорт;1;Спортивная подготовка по виду спорта «футбол». Педагогическая деятельность в области физической культуры и спорта;Футбол
С1-04А-25;000012303;Настольный теннис;Второй семестр;Лекции;2;Кафедра теории и методики тенниса, настольного тенниса и бадминтона;Очная;Тренерский факультет (1 отделение);Спорт;1;Спортивная подготовка по виду спорта «футбол». Педагогическая деятельность в области физической культуры и спорта;Футбол
С1-04А-25;000012303;Настольный теннис;Второй семестр;Практические занятия;18;Кафедра теории и методики тенниса, настольного тенниса и бадминтона;Очная;Тренерский факультет (1 отделение);Спорт;1;Спортивная подготовка по виду спорта «футбол». Педагогическая деятельность в области физической культуры и спорта;Футбол
С1-04А-25;000012303;Педагогика;Второй семестр;Лекции;10;Кафедра педагогики;Очная;Тренерский факультет (1 отделение);Спорт;1;Спортивная подготовка по виду спорта «футбол». Педагогическая деятельность в области физической культуры и спорта;Футбол
С1-04А-25;000012303;Педагогика;Второй семестр;Практические занятия;22;Кафедра педагогики;Очная;Тренерский факультет (1 отделение);Спорт;1;Спортивная подготовка по виду спорта «футбол». Педагогическая деятельность в области физической культуры и спорта;Футбол
С1-04А-25;000012303;Профессионально-спортивное совершенствование;Второй семестр;Практические занятия;36;Кафедра теории и методики футбола;Очная;Тренерский факультет (1 отделение);Спорт;1;Спортивная подготовка по виду спорта «футбол». Педагогическая деятельность в области физической культуры и спорта;Футбол
С1-04А-25;000012303;Скандинавская ходьба;Второй семестр;Лекции;2;Кафедра теории и методики лыжных видов спорта;Очная;Тренерский факультет (1 отделение);Спорт;1;Спортивная подготовка по виду спорта «футбол». Педагогическая деятельность в области физической культуры и спорта;Футбол
С1-04А-25;000012303;Скандинавская ходьба;Второй семестр;Практические занятия;18;Кафедра теории и методики лыжных видов спорта;Очная;Тренерский факультет (1 отделение);Спорт;1;Спортивная подготовка по виду спорта «футбол». Педагогическая деятельность в области физической культуры и спорта;Футбол
С1-04А-25;000012303;Социальная адаптация инвалидов и лиц с ограниченными возможностями здоровья;Второй семестр;Лекции;12;Кафедра теории и методики адаптивной физической культуры;Очная;Тренерский факультет (1 отделение);Спорт;1;Спортивная подготовка по виду спорта «футбол». Педагогическая деятельность в области физической культуры и спорта;Футбол
С1-04А-25;000012303;Социальная адаптация инвалидов и лиц с ограниченными возможностями здоровья;Второй семестр;Практические занятия;24;Кафедра теории и методики адаптивной физической культуры;Очная;Тренерский факультет (1 отделение);Спорт;1;Спортивная подготовка по виду спорта «футбол». Педагогическая деятельность в области физической культуры и спорта;Футбол
С1-04А-25;000012303;Спортивная йога;Второй семестр;Лекции;2;Кафедра теории и методики гимнастики;Очная;Тренерский факультет (1 отделение);Спорт;1;Спортивная подготовка по виду спорта «футбол». Педагогическая деятельность в области физической культуры и спорта;Футбол
С1-04А-25;000012303;Спортивная йога;Второй семестр;Практические занятия;18;Кафедра теории и методики гимнастики;Очная;Тренерский факультет (1 отделение);Спорт;1;Спортивная подготовка по виду спорта «футбол». Педагогическая деятельность в области физической культуры и спорта;Футбол
С1-04А-25;000012303;Теория и методика футбола;Второй семестр;Лекции;10;Кафедра теории и методики футбола;Очная;Тренерский факультет (1 отделение);Спорт;1;Спортивная подготовка по виду спорта «футбол». Педагогическая деятельность в области физической культуры и спорта;Футбол
С1-04А-25;000012303;Теория и методика футбола;Второй семестр;Практические занятия;100;Кафедра теории и методики футбола;Очная;Тренерский факультет (1 отделение);Спорт;1;Спортивная подготовка по виду спорта «футбол». Педагогическая деятельность в области физической культуры и спорта;Футбол
С1-04А-25;000012303;Тяжелоатлетические виды спорта;Второй семестр;Лекции;2;Кафедра теории и методики тяжелоатлетических видов спорта им. А.С. Медведева;Очная;Тренерский факультет (1 отделение);Спорт;1;Спортивная подготовка по виду спорта «футбол». Педагогическая деятельность в области физической культуры и спорта;Футбол
С1-04А-25;000012303;Тяжелоатлетические виды спорта;Второй семестр;Практические занятия;46;Кафедра теории и методики тяжелоатлетических видов спорта им. А.С. Медведева;Очная;Тренерский факультет (1 отделение);Спорт;1;Спортивная подготовка по виду спорта «футбол». Педагогическая деятельность в области физической культуры и спорта;Футбол
С2-08А-25;000012428;Анатомия человека;Второй семестр;Лекции;16;Кафедра анатомии и биологической антропологии;Очная;Тренерский факультет (2 отделение);Спорт;1;Спортивная подготовка в тхэквондо. Педагогическая деятельность в области физической культуры и спорта;Тхэквондо ВТФ
С2-08А-25;000012428;Анатомия человека;Второй семестр;Лекции;16;Кафедра анатомии и биологической антропологии;Очная;Тренерский факультет (2 отделение);Спорт;1;Спортивная подготовка в тхэквондо. Педагогическая деятельность в области физической культуры и спорта;Тхэквондо ИТФ
С2-08А-25;000012428;Анатомия человека;Второй семестр;Практические занятия;48;Кафедра анатомии и биологической антропологии;Очная;Тренерский факультет (2 отделение);Спорт;1;Спортивная подготовка в тхэквондо. Педагогическая деятельность в области физической культуры и спорта;Тхэквондо ВТФ
С2-08А-25;000012428;Анатомия человека;Второй семестр;Практические занятия;48;Кафедра анатомии и биологической антропологии;Очная;Тренерский факультет (2 отделение);Спорт;1;Спортивная подготовка в тхэквондо. Педагогическая деятельность в области физической культуры и спорта;Тхэквондо ИТФ
С2-08А-25;000012428;Баскетбол;Второй семестр;Лекции;2;Кафедра теории и методики баскетбола;Очная;Тренерский факультет (2 отделение);Спорт;1;Спортивная подготовка в тхэквондо. Педагогическая деятельность в области физической культуры и спорта;Тхэквондо ВТФ
С2-08А-25;000012428;Баскетбол;Второй семестр;Лекции;2;Кафедра теории и методики баскетбола;Очная;Тренерский факультет (2 отделение);Спорт;1;Спортивная подготовка в тхэквондо. Педагогическая деятельность в области физической культуры и спорта;Тхэквондо ИТФ
С2-08А-25;000012428;Баскетбол;Второй семестр;Практические занятия;46;Кафедра теории и методики баскетбола;Очная;Тренерский факультет (2 отделение);Спорт;1;Спортивная подготовка в тхэквондо. Педагогическая деятельность в области физической культуры и спорта;Тхэквондо ВТФ
С2-08А-25;000012428;Баскетбол;Второй семестр;Практические занятия;46;Кафедра теории и методики баскетбола;Очная;Тренерский факультет (2 отделение);Спорт;1;Спортивная подготовка в тхэквондо. Педагогическая деятельность в области физической культуры и спорта;Тхэквондо ИТФ
С2-08А-25;000012428;Безопасность жизнедеятельности;Второй семестр;Лекции;10;Кафедра спортивной медицины;Очная;Тренерский факультет (2 отделение);Спорт;1;Спортивная подготовка в тхэквондо. Педагогическая деятельность в области физической культуры и спорта;Тхэквондо ВТФ
С2-08А-25;000012428;Безопасность жизнедеятельности;Второй семестр;Лекции;10;Кафедра спортивной медицины;Очная;Тренерский факультет (2 отделение);Спорт;1;Спортивная подготовка в тхэквондо. Педагогическая деятельность в области физической культуры и спорта;Тхэквондо ИТФ
С2-08А-25;000012428;Безопасность жизнедеятельности;Второй семестр;Практические занятия;22;Кафедра спортивной медицины;Очная;Тренерский факультет (2 отделение);Спорт;1;Спортивная подготовка в тхэквондо. Педагогическая деятельность в области физической культуры и спорта;Тхэквондо ВТФ
С2-08А-25;000012428;Безопасность жизнедеятельности;Второй семестр;Практические занятия;22;Кафедра спортивной медицины;Очная;Тренерский факультет (2 отделение);Спорт;1;Спортивная подготовка в тхэквондо. Педагогическая деятельность в области физической культуры и спорта;Тхэквондо ИТФ
С2-08А-25;000012428;Велосипедный спорт;Второй семестр;Лекции;2;Кафедра теории и методики велосипедного спорта, триатлона и гольфа;Очная;Тренерский факультет (2 отделение);Спорт;1;Спортивная подготовка в тхэквондо. Педагогическая деятельность в области физической культуры и спорта;Тхэквондо ВТФ
С2-08А-25;000012428;Велосипедный спорт;Второй семестр;Лекции;2;Кафедра теории и методики велосипедного спорта, триатлона и гольфа;Очная;Тренерский факультет (2 отделение);Спорт;1;Спортивная подготовка в тхэквондо. Педагогическая деятельность в области физической культуры и спорта;Тхэквондо ИТФ
С2-08А-25;000012428;Велосипедный спорт;Второй семестр;Практические занятия;18;Кафедра теории и методики велосипедного спорта, триатлона и гольфа;Очная;Тренерский факультет (2 отделение);Спорт;1;Спортивная подготовка в тхэквондо. Педагогическая деятельность в области физической культуры и спорта;Тхэквондо ВТФ
С2-08А-25;000012428;Велосипедный спорт;Второй семестр;Практические занятия;18;Кафедра теории и методики велосипедного спорта, триатлона и гольфа;Очная;Тренерский факультет (2 отделение);Спорт;1;Спортивная подготовка в тхэквондо. Педагогическая деятельность в области физической культуры и спорта;Тхэквондо ИТФ
С2-08А-25;000012428;Воркаут;Второй семестр;Лекции;2;Кафедра теории и методики гимнастики;Очная;Тренерский факультет (2 отделение);Спорт;1;Спортивная подготовка в тхэквондо. Педагогическая деятельность в области физической культуры и спорта;Тхэквондо ВТФ
С2-08А-25;000012428;Воркаут;Второй семестр;Лекции;2;Кафедра теории и методики гимнастики;Очная;Тренерский факультет (2 отделение);Спорт;1;Спортивная подготовка в тхэквондо. Педагогическая деятельность в области физической культуры и спорта;Тхэквондо ИТФ
С2-08А-25;000012428;Воркаут;Второй семестр;Практические занятия;18;Кафедра теории и методики гимнастики;Очная;Тренерский факультет (2 отделение);Спорт;1;Спортивная подготовка в тхэквондо. Педагогическая деятельность в области физической культуры и спорта;Тхэквондо ВТФ
С2-08А-25;000012428;Воркаут;Второй семестр;Практические занятия;18;Кафедра теории и методики гимнастики;Очная;Тренерский факультет (2 отделение);Спорт;1;Спортивная подготовка в тхэквондо. Педагогическая деятельность в области физической культуры и спорта;Тхэквондо ИТФ
С2-08А-25;000012428;Гимнастика;Второй семестр;Практические занятия;34;Кафедра теории и методики гимнастики;Очная;Тренерский факультет (2 отделение);Спорт;1;Спортивная подготовка в тхэквондо. Педагогическая деятельность в области физической культуры и спорта;Тхэквондо ВТФ
С2-08А-25;000012428;Гимнастика;Второй семестр;Практические занятия;34;Кафедра теории и методики гимнастики;Очная;Тренерский факультет (2 отделение);Спорт;1;Спортивная подготовка в тхэквондо. Педагогическая деятельность в области физической культуры и спорта;Тхэквондо ИТФ
С2-08А-25;000012428;Иностранный язык;Второй семестр;Практические занятия;32;Кафедра иностранных языков и лингвистики;Очная;Тренерский факультет (2 отделение);Спорт;1;Спортивная подготовка в тхэквондо. Педагогическая деятельность в области физической культуры и спорта;Тхэквондо ВТФ
С2-08А-25;000012428;Иностранный язык;Второй семестр;Практические занятия;32;Кафедра иностранных языков и лингвистики;Очная;Тренерский факультет (2 отделение);Спорт;1;Спортивная подготовка в тхэквондо. Педагогическая деятельность в области физической культуры и спорта;Тхэквондо ИТФ
